Opinion,Labels,,,,,,,,,,,,,,,,,,,,,,
"Tr??ng t?a l?c ? v? trí vô cùng thu?n l?i, v?i khu trung chuy?n xe bus và nhà ga ???ng s?t ? ngay sát c?ng tr??ng. ??i di?n tr??ng là Công viên Th? L?, n?i gi?i trí, d?o ch?i c?c phù h?p sau nh?ng gi? h?c t?p c?ng th?ng, m?t m?i.",Positive,,,,,,,,,,,,,,,,,,,,,,
Tòa ký túc xá sinh viên c?a ??i h?c Giao thông V?n t?i ?áp ?ng ??y ?? nh?ng nhu c?u c?a sinh viên.,Positive,,,,,,,,,,,,,,,,,,,,,,
"Wifi ph? kh?p tr??ng v?i t?c ?? cao, ph?c v? cho nhu c?u h?c t?p và nghiên c?u c?a sinh viên, gi?ng viên.",Positive,,,,,,,,,,,,,,,,,,,,,,
"Tr??ng n?m t?i ???ng C?u Gi?y nh?ng l?i thu?c qu?n ??ng ?a, bên dòng sông Tô L?ch th? m?ng và lãng m?n.",Neutral,,,,,,,,,,,,,,,,,,,,,,
"H?c phí khá r?, kho?ng h?n ch?c lít x?ng Ron 95 - IV/ tín ch?, h?c phí r? không ??ng ngh?a v?i c? s? v?t ch?t kém ?âu nhé. Phòng h?c ???c trang b? h? th?ng máy chi?u thông minh, c?ng nét Full HD 4K.",Positive,,,,,,,,,,,,,,,,,,,,,,
"???c ?ánh giá là có nhi?u môn h?c r?t "" D?"" nhà tr??ng luôn t?o ?i?u ki?n ?? sinh viên có th? d? dàng h?c l?i cho v?ng ki?n th?c.",Positive,,,,,,,,,,,,,,,,,,,,,,
"Gi?ng viên t?i ?ây r?t tâm huy?t v?i ngh?, nhi?u th?y cô d?y gi?i, hi?u tâm lí h?c sinh.",Positive,,,,,,,,,,,,,,,,,,,,,,
"Là tr??ng g?n nh?t ?? ??n v?i con ???ng Thành công, dù nó ? ???ng C?u Gi?y nh?ng v?n là thu?c qu?n ??ng ?a nhé.",Neutral,,,,,,,,,,,,,,,,,,,,,,
"?i?m c?ng n?a là tr??ng r?t g?n Tr?n Duy H?ng, con ???ng khét ti?ng nh?t Th? ?ô",Neutral,,,,,,,,,,,,,,,,,,,,,,
"UTC là v?a ""Chu?i"" l?n nh?t c? n??c, là ng??i tình không bao gi? c??i c?a Xây d?ng. Là ??c m? c?a bao nhiêu b?n sinh viên mu?n vào tr??ng vì mu?n s?n kí túc xá màu h?ng Hello Kitty",Neutral,,,,,,,,,,,,,,,,,,,,,,
Trai Giao Thông chính là n?i lo s? c?a h?u h?t các b?n n? tr??ng Ngo?i Th??ng trong công cu?c gìn gi? và b?o v? trai tr??ng (th?c ra thì gái tr??ng nào c?ng s?).,Neutral,,,,,,,,,,,,,,,,,,,,,,
Có 1 ?i?u mà các b?n PH?I ghi nh? ?ó là: KHÔNG r? rê gái Xây ?i nh?u.,Neutral,,,,,,,,,,,,,,,,,,,,,,
"B?n nam UTC chia s? : “Gái Giao thông nh? sông Tô L?ch, và n??c sông Tô L?ch ?ang d?n ???c c?i thi?n r?i nhé! Ít ít nh?ng mà ch?t l??ng, gái xinh l?m ??y ch?ng ?ùa ?âu.”",Positive,,,,,,,,,,,,,,,,,,,,,,
"? c?ng tr??ng có cây bán n??c t? ??ng chính là 1 t?m g??ng ph?n ánh nhân ph?m c?a m?i ng??i. B?i n?u máy không nh?n ti?n l?n 1 thì là l?i c?a máy, ?út ti?n N l?n mà c?ng không ???c thì ch?c ch?n nhân ph?m c?a b?n kém r?i :)))",Negative,,,,,,,,,,,,,,,,,,,,,,
C?ng tin bánh m? 12k r? h?n ? ngoài 3k nhé  trà ?ào 7k trà chanh 9k. C?ng tin bao ??p view bao phê mà giá h?p lí ?!” M?t thanh niên n?m vùng said :))))),Positive,,,,,,,,,,,,,,,,,,,,,,
T?t nào tr??c khi v? tr??ng c?ng ???c t?ng combo g?m gói k?o c?m + bánh x?p + 1 t? l?ch ?ong ??y yêu th??ng nha. Nhân ph?m cao thì ?âu ?ó trong gói quà còn xu?t hi?n nh?ng t? 5 lít :))” Theo l?i c?a UTCer,Neutral,,,,,,,,,,,,,,,,,,,,,,
"??c bi?t Giao thông ???c m?nh danh là kinh ?ô ánh sáng, m?i n?m 2 mùa festival - quy t? nh?ng anh hùng kh?p n?i. C?ng chính là n?i ?? sinh viên g?i g?m 5 n?m thanh xuân c?a mình.",Neutral,,,,,,,,,,,,,,,,,,,,,,
"?m th?c: N?i quy t? v??n “chu?i” l?n nh?t VN. ??ng sau tr??ng là thiên ???ng ?m th?c Chùa Láng. ?ây là n?i ?ã ??n g?c nh?ng trái tim yêu ?m th?c ??n t? Ngo?i th??ng, Ngo?i giao, Giao thông…Ae giao thông v?a ?n ph? + v?a ng?m các b?n n? tr??ng khác..ui bao phê",Neutral,,,,,,,,,,,,,,,,,,,,,,
"M?t nhà th? nào ?ó ?ã t?ng nói: “Chim khôn chim ch?n nhãn l?ng, gái khôn gái ch?n l?y ch?ng Giao Thông”. Câu th? l?c bát này ?ã nói lên s? ngôn ngoan c?a ng??i con gái khi bi?t ch?n trai giao thông làm ch?ng. B?ng nh?ng ngh? thu?t tu t? nhà th? ?ã làm n?i b?t nên nh?ng v? ??p và ph?m ch?t t?t ??p c?a ng??i con trai giao thông.",Positive,,,,,,,,,,,,,,,,,,,,,,
"Khi nh?c ??n KINH ?Ô ÁNG SÁNG có l? b?n s? ngh? ngay ??n Paris c?a Pháp, b?n m??ng t??ng ra nh?ng ?ôi trai gái lãng m?n bên tháp Eiffel. Thì v?i nh?ng th? h? sinh viên giao thông KINH ?Ô ÁNH SÁNG l?i là m?t cái gì ?ó r?t thân th??ng, r?t ??c bi?t, không th? nào quên. Ch? khi ???c m?t l?n tr?i nghi?m KINH ?Ô ÁNH SÁNG thì lúc ?ó có l? th?i sinh viên c?a b?n m?i th?t s? tr?n v?n",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Tr??ng n?m trên ???ng C?y Gi?y nh?ng l?i thu?c qu?n ??ng ?a, nh?ng c?ng chính vì th? mà nó ???c thiên nhiên ban t?ng t?a l?c bên dòng sông Tô L?ch th? m?ng, nét huy?n ?o c?a nó ?ã khi?n bao con tim yêu nh?c x?n xao mà sáng tác thành nh?ng bài nh?c b?t h?, là c?m h?ng cho nh?ng thi s? vi?t nh?ng bài th? ?? ??i. Trong ?ó có nhà th? Tú M? (nhà ông ngay c?nh tr??ng)",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Ngoài ra tr??ng còn có m?t KTX ? Nguy?n Chí Thanh, con ???ng mang tên m?t ??i t??ng n?i ti?ng c?a dân t?c b?n ??a, ??i l?p là ???ng Tr?n Duy H?ng m?t con ???ng n?i ti?ng b?c nh?t N??c Ta. Ch? hi?u sao khi nh?c ??n ai c?ng bi?t, ch?c là vì nó mang tên v? qu?n tr? tiên phong c?a Hà N?i",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Wifi ph? kh?p tr??ng, xem ti?n b?p, ??c l?nh, trading c?ng ?ét",Positive,,,,,,,,,,,,,,,,,,,,,,
H?c phí thu?c lo?i r? nh?t vì tr??ng v?n ???c nhà n??c t??ng h?. Ch? b?ng 1-2 b?a l?u,Positive,,,,,,,,,,,,,,,,,,,,,,
"N?i quy t? nh?ng th?n c?n l?n nh?t c? n??c, th?nh tho?ng b?n s? b?t g?p nh?ng chi?c xe máy ch? cái gì ?ó có d?ng l?ng ? ??ng sau xe thì ??ng h?i ?ó là gì….??y là “x?ng”, c?n th?n h?i, nó ?iên lên nó mang ?i ??t nhà.",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Có tòa Ký túc xá ??i h?c giao thông v?n t?i cho nh?ng sinh viên dành h?c b?ng thu?c d?ng x?n nh?t Hà N?i, tòa này ???c nh?ng m?nh th??ng quân PTS h? tr? v?n",Positive,,,,,,,,,,,,,,,,,,,,,,
"View không ?âu b?ng vì ??i l?p là khu vui ch?i gi?i trí công viên Th? L?, h?c t?p stress quá, tình nhân nó b? th?t tình quá thì sang ?ó ng?m thú, trò chuy?n =))",Positive,,,,,,,,,,,,,,,,,,,,,,
"V? trí thu?n ti?n b?c nh?t khu v?c vì c?ng tr??ng là khu trung chuy?n xe bus và có nhà ga ???ng tàu trên cao ??i l?p c?ng tr??ng. Sáng ?n xôi c?ng tr??ng, chi?u tán gái Công nghi?p … ui tuy?t. Review ??i h?c giao thông v?n t?i",Positive,,,,,,,,,,,,,,,,,,,,,,
"Sân bóng ??i h?c giao thông v?n t?i, m?t trong nh?ng tr??ng có sân bóng ??p nh?t Hà N?i…là n?i nh?ng bông hoa th??ng n?m (h?c qu?c phòng) ? ?ây cho các ae ng?m t? tòa A3, A7..@@",Positive,,,,,,,,,,,,,,,,,,,,,,
"Tr??ng có phòng h?c thông minh, trang thi?t b? thu?c top x?n sò c?a c? n??c nh? máy chi?u c?m ?ng, có th? chi?u ???c c? v? lên, ?i?u hòa mát r??i, bàn gh? m?i toanh, phòng lab v?i dàn máy PC I7-10700 v?i màn hình cong 27inch…",Positive,,,,,,,,,,,,,,,,,,,,,,
"Th? vi?n c?a tr??ng là m?t trong nh?ng th? vi?n hi?n ??i, l?n trong các tr??ng ??i h?c Vi?t Nam. V?i hàng ngàn ??u sách, giáo trình, bài báo và t? li?u, cùng v?i thi?t k? n?i th?t hi?n ??i, h? th?ng máy tính, wifi t?c ?? cao và h? th?ng ?i?u hòa.",Positive,,,,,,,,,,,,,,,,,,,,,,
Tr??ng ???c xây d?ng thêm nhi?u khang trang h?n,Positive,,,,,,,,,,,,,,,,,,,,,,
"Nhân viên trông gi? xe t? thái ??, thu ti?n mà còn quát m?ng sinh viên ??n g?i xe",Negative,,,,,,,,,,,,,,,,,,,,,,
"C? s? v?t ch?t t?t, ?âu ??y 8 toà cho SV và GV h?c và làm vi?c, ch?a tính HTL v?i m?y nhà to ?ùng cho SV th?c hành v?i cho GV tr?c. ?? nhà th? ch?t, sân bóng ?á, bóng r?, c?u lông, bóng chuy?n, bên c?nh còn thêm Bida, Tennis, kèm m?y quán Cyber tha h? t?p luy?n ??. 2 nhà ?? xe to ?ùng v?n ch?a gi?i quy?t h?t nhu c?u g?i xe c?a SV, hi v?ng nhà tr??ng s?m xây d?ng ho?c m? r?ng thêm nhà ?? xe. G?n tr?m x?ng, 4 tr?m d?ng l??t ?i - v? xe bus ngay c?ng tr??ng, tr?m d?ng ga metro c?ng th?ng c?ng tr??ng ch? ??i khánh thành ?? ncl vào c?ng tr??ng thì d?, ? trong tr??ng ch?ng thi?u th? gì c?ng vui, ch? có ra tr??ng khó thôi.",Negative,,,,,,,,,,,,,,,,,,,,,,
Tr??ng h?i khó tìm ???ng,Negative,,,,,,,,,,,,,,,,,,,,,,
"Môn gdqp thì rõ h?c ??y ?? lý thuy?t nh?ng ko cho thi, khi ch?y ra h?i th?y thì th?y v?a ?i v?a nói ki?u nh? ko mu?n ti?p chuy?n",Negative,,,,,,,,,,,,,,,,,,,,,,
Tr??ng ?ào t?o trình ?? ??i h?c và sau ??i h?c uy tín,Positive,,,,,,,,,,,,,,,,,,,,,,
Tr??ng c? khuân viên cho môn th? d?c th? ch?t h?i ch?t cho nhi?u môn,Negative,,,,,,,,,,,,,,,,,,,,,,
"Các b?n phân vân ch?n tr??ng là r?t ?úng,n?u vào GTVT thì h?c phí r?t r? so vs cùng ch??ng trình ?ào t?o c?a các tr??ng khác.Khi vào tr??ng chúng ta có r?t nhi?u môi tr??ng ?? phát tri?n ??i ng? giáo viên r?t t?t và c?c k? quan tâm ??n sinh viên(?i?u này chúng ta s? th?y ???c khi h?c n?m 3,4).Và quan tr?ng là khi chúng ta vào tr??ng thì ph?i xác ??nh rõ là h?c c? h?i vi?c làm thì luôn m? r?ng ngay t? khi n?m 3,4.",Positive,,,,,,,,,,,,,,,,,,,,,,
mình h?c công trình giao thông c?a UTC . mình th?y trong quá trình h?c n?u nh? b?n tích c?c tham gia các ho?t ??ng c?a b? môn hay c?a khoa thì b?n s? có r?t nhi?u c? h?i g?p và quen các th?y cô trong khoa. khi ra tr??ng c? h?i cv c?ng r?t cao,Positive,,,,,,,,,,,,,,,,,,,,,,
"Bây gi? ?i?u hoà l?p full c? tr??ng r?i, mùa hè ph?i mang áo rét, và h? th?ng b?ng thông minh n?a. Các em yên tâm nha",Positive,,,,,,,,,,,,,,,,,,,,,,
Chuyên ngành không rõ ràng. D?y tràn lan không t?p trung chuyên môn. Khó ??nh h??ng ngh? nghi?p cho sinh viên,Negative,,,,,,,,,,,,,,,,,,,,,,
"Tr??ng h? th?ng wifi x?p x?, khó b?t. Nhu c?u tìm ki?m thông tin l?n mà các tòa thì ch?n 3G, 4G. Thách ?? sinh viên hay gì????",Negative,,,,,,,,,,,,,,,,,,,,,,
Nhân viên nhà xe quát sinh viên nh? con.,Negative,,,,,,,,,,,,,,,,,,,,,,
"C?m ti?c 3k b?ng c? c?c trà ?á hay u?ng :))). Nh?ng là sinh viên Giao Thông tôi ch?n ?? xe ? bãi g?i xe. Có nh?ng ngày m?t 4 l??t g?i nh?ng xe mình nó an toàn, c?nh quan khuôn viên tr??ng c?ng oke h?n",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Ko ph?i nói ch? m?y nhà th?u ph?i xem xét thái ?? c?a m?y b?o v? .mình c?ng ?ã b? 1 l?n d?a ?ánh và h?n mình ? c?ng tr??ng và mình c?ng ?ã b?t g?p anh d?a n?t ??nh ?ánh sv r?t nhi?u l?n r?i,khi?n cho nhi?u b?n s?.Mình ko bi?t tên c?a anh ??y ch? bi?t anh ?y vào và béo thôi",Negative,,,,,,,,,,,,,,,,,,,,,,
Nhà tr??ng không c?m ?i xe vào nh?ng ?i xe vào khá nguy hi?m cho nh?ng sinh viên ?i b? trong khuôn viên tr??ng và ?i xe vào tr??ng gây ?nh h??ng ??n m?i ng xung quanh. Nên thay vì ti?c 3k-5k g?i xem thì m?i ng??i ?? xe ? nhà xe v?a an toàn cho xe c?a các b?n và an toàn cho các b?n sinh viên di chuy?n trong tr??ng,Neutral,,,,,,,,,,,,,,,,,,,,,,
?? xe trong nhà xe th?c ra r?t an toàn và c?ng v?n minh nh?ng các bác b?o v? có th? b?t quát cháu m?i khi tr?a v? ?ông ???c không  cháu y?u tim cháu ?nag theo dòng ng??i ra mà các bác quát tay lái cháu y?u cháu c? ?âm nh?m b?n phía tr??c  cháu c?ng bi?t các bác c?ng m?t nh?ng cháu c?ng m?t l?m ?y  th?nh tho?ng m?y bác gái ng?i trong b?t quay ra l??m m?i khi cháu xoè ??ng 20k ra cháu c?ng áp l?c l?m =))),Neutral,,,,,,,,,,,,,,,,,,,,,,
"Sinh viên tr??ng ?a s? vô v?n hóa, ??y th?ng h?c d?t vãi ra xong v?n vào ???c tr??ng. H?c hành thì toàn ch?y cánh, bu?n c??i nh?t là các ông c? vin cái lý là ""tr??ng top ?ào t?o k? thu?t"" :)) haha. Xin l?i ch? lúc t ?i làm ng??i ta còn c??i nh?t khi bi?t tôi h?c tr??ng này c?. T?t nh?t là vi?c ai n?y lo, gi? ??a nào c?ng b? ti?n ra ?? ?i h?c thì không có chuy?n ai ch?nh ai ???c ?âu.",Negative,,,,,,,,,,,,,,,,,,,,,,
"Th? thì c? ch?a g?i xe vào bãi bao gi? r?i. M? thì m?t, v? xe x??c xát các ki?u có khi r?ng m.? xi nhan h?u, n?p ?uôi v?, g??ng v?, x?p xe ch?n ???ng, khóa c?, t?c, m?t tg,... ??c bi?t là ??i ca thu vé ? cái b?t c? nh? Tr?n D?n, ch? coi ai ra gì ?âu. T lúc ??u g?i ?úng 1 tu?n m?i bi?t ?c, sau m?i cho xe vào tr??ng r?i khóa bánh khóa c? các th? nma luôn ?? xe g?n sát t??ng nhé. 3k k ph?i là v?n ?? mà là cái ch?t l??ng nhà ?? xe th?c s? nh? k?* v?y. Nh?ng th? lo?i nh? v?y k x?ng ?áng nh?n ?c ti?n b?n ?.",Negative,,,,,,,,,,,,,,,,,,,,,,
"M?y ông c?nh b?o v? ca ?êm, ko bi?t là thi?u nhân s? làm vi?c hay ntn l?i ?? m?y ng s?m ch? ??y mình, ?n nói thì v?ng ?? th?, thái ?? thì thôi, ko c?n nói t?i, quá t?, ai c?ng bi?t là cu?c s?ng thì c?a m?i ng, ko nên suy sét, nh?ng cách hành s?a, l?i nói quá t?",Negative,,,,,,,,,,,,,,,,,,,,,,
B?n này m?t vé tháng ib mình ?? b? em nó v? nhé,Neutral,,,,,,,,,,,,,,,,,,,,,,
Hp h?c l?i 1 tín trg mình là bn ? e h?c l?i r :(((,Negative,,,,,,,,,,,,,,,,,,,,,,
h?c phí r? mà h?c l?i ch?c l?n còn dc,Positive,,,,,,,,,,,,,,,,,,,,,,
Sinh viên UTC có b?n nào bi?t ti?ng nh?t c? N4 mu?n ?i làm di?n k? s? hoàn toàn mi?n phí ? Nh?t ib mình nhé,Neutral,,,,,,,,,,,,,,,,,,,,,,
"Ae nào khoa cntt g?p khó kh?n trong môn nguyên lý h? ?i?u hành th?c hành lap ib tôi nhé ,thank ae",Neutral,,,,,,,,,,,,,,,,,,,,,,
"S? d? tr? vào k? ti?p theo nha b?n , còn sv n?m cu?i thì m?i xu?ng v?n phòng h? tr? rút thôi b",Neutral,,,,,,,,,,,,,,,,,,,,,,
Hnay e ki?m tra thì th?y trong tk còn d? li?u e có rút ra ???c ko và b?ng cách nào ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
Nhà tr??ng có trang thông báo cho sv thì k vào nh?n thông báo l?i c? lên ?ây h?i lung tung.,Negative,,,,,,,,,,,,,,,,,,,,,,
h?c n?m cu?i thì ra c?a s? a1 mang th? cccd+ th? sinh viên,Neutral,,,,,,,,,,,,,,,,,,,,,,
M?ng trg nh? qq á,Negative,,,,,,,,,,,,,,,,,,,,,,
b??c vào A7 nh? tr? v? th?i kì ?? ?á,Negative,,,,,,,,,,,,,,,,,,,,,,
"Các b?n SV cho mình h?i, b? th?t l?c b?ng TN mu?n xin c?p l?i thì hi?n t?i tr??ng mình ?ã c?p l?i b?n sao b?ng t?t nghi?p ch?a hay v?n ch? c?p gi?y xác nh?n ?ã t?t nghi?p. Mình c?m ?n",Neutral,,,,,,,,,,,,,,,,,,,,,,
Mình c?n tìm 1 b?n n?a h?c h? 2 bu?i vào tu?n sau bu?i chi?u ca3 và4 t7 ai nh?n ???c ib mình ?aaa,Neutral,,,,,,,,,,,,,,,,,,,,,,
tìm ng??i h? tr? btl môn thi?t k? nhà máy c? khí,Neutral,,,,,,,,,,,,,,,,,,,,,,
Mình th?y trên h? th?ng c?a tr??ng báo mình còn d? h?n 700k ??ng ti?n h?c phí ntn thì mình có rút ra ???c không ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
Em c? g?ng l?m r?i mà k?t qu? m?t s? môn v?n không nh? mong mu?n ?.,Negative,,,,,,,,,,,,,,,,,,,,,,
Cái gì c?m th?y khó quá thì nên h?c l?n 2 cho hi?u,Positive,,,,,,,,,,,,,,,,,,,,,,
Tài chính bao nhiêu 250k anh bao 8++ em nhé,Positive,,,,,,,,,,,,,,,,,,,,,,
a này kinh nghi?m ??y mình… thây cô nào c?ng yêu quý,Positive,,,,,,,,,,,,,,,,,,,,,,
"Cái turn ?i thang máy A8 lúc 12:05 s?ng cho ra h?n ng??i ?i nhé :))). nhi?u v? nh? v?y r?i v?n c? tình làm l?i, ??n ?c? …",Negative,,,,,,,,,,,,,,,,,,,,,,
:))) m?y l?n h?c t?i 9h kém móie v? cno cho ?i nguyên 7 t?ng,Negative,,,,,,,,,,,,,,,,,,,,,,
??c s?n toà A8 luôn :)) 20t n não mãi d?ng phát tri?n ? tu?i th? 2,Negative,,,,,,,,,,,,,,,,,,,,,,
B?n nào có lòng h?o tâm c?m m? mình m??n t?m thì tr? l?i g?i b?o v? nhé. Cái m? nó c?ng không ?áng giá bao nhiêu nh?ng con ng??i có ph?i con v?t ?âu mà ý th?c không b?ng con v?t v?y.,Negative,,,,,,,,,,,,,,,,,,,,,,
N?u m? r?i b?n nào có nh?t ???c mình có h?u t? ?,Positive,,,,,,,,,,,,,,,,,,,,,,
Cho em h?i có vé tháng ?? xe qua ?êm ? tr??ng mình không ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
Dùng vé tháng là ?? ???c c? ?êm ?ó b?n,Positive,,,,,,,,,,,,,,,,,,,,,,
Nay thay ??i b?o v? áo xanh lá cây m?i ?ét r trông uy l?m,Positive,,,,,,,,,,,,,,,,,,,,,,
Tr??ng mình có b?t hoàn thành A2 B1 ?úng th?i h?n trong kì h?c không m?i ng??i hay ch? c?n ra tr??ng có Toeic ??i là ???c ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
"chuy?n là d?o g?n ?ây th?y các b?n phóng xe vào trong nhi?u quá nên mình cx b?t ch??c làm theo, ai ng? m?t ngày n? mình ?i vào thì có ông bác b?o v? béo béo áo xanh ?i ra hùng h? b?o mình ko ?c ?? ? ?ây và ph?i ra nhà xe ?? 
mình c?ng vâng d? r?i quay xe ra ngoài vì rõ là mình sai, nh?ng lúc mình quay ?i bác b?o v? có ch?i th? này:
“ ?** con m* toàn m?t l? vô ý th?c”
mình nghe xong mình m?i gi?t mình quay l?i h?i” ô bác ?i bác ch?i cái gì ??y” xong bác bv m?i b?o là” th? m làm sao? m nhìn cái gì?”
?? m?i chuy?n ko ?i quá xa( v?i l?i nh? x?y ra v?n ?? gì quá khích thì nó l?i ?nh h??ng ??n h?nh ki?m thì ch?t) thì mình gi? ?m ?c trong lòng và ?i g?i xe ?úng n?i quy ??nh",Negative,,,,,,,,,,,,,,,,,,,,,,
tr??ng thuê dc m?y cháu bv có h?c vl :)),Negative,,,,,,,,,,,,,,,,,,,,,,
tr??c có m?y chú BV là ng??i v? h?u ??t làm robocon còn cho ??i m?y lít,Positive,,,,,,,,,,,,,,,,,,,,,,
ng?o ngh? UTC,Positive,,,,,,,,,,,,,,,,,,,,,,
"Thôi mình ngh? m?i chuy?n nên k?t thúc ? ?ây ?, ch?c chuy?n này ban giám hi?u c?ng s? bi?t và s? ?i?u ch?nh ?úng m?c thôi, mong s? kh thêm 1 bài vi?t nào n?a ?",Positive,,,,,,,,,,,,,,,,,,,,,,
mong là ?u?i b?t b?n nhà xe láo nháo này :))) ? gì tr??ng h?c nh? cái ch? cá có thg b?n b?n ??ng nh? ?i thu n? ? c?ng tr??ng,Negative,,,,,,,,,,,,,,,,,,,,,,
ae nào tr??c ?ki h?c l?i là kh?c bi?t bà cô nói SV nh? .... Bao n?m có sao ?âu,Negative,,,,,,,,,,,,,,,,,,,,,,
M?y bác b?o v? c?ng có ph?n khó tính nh?ng mà m?y ông nhõi phi xe vào tr??ng c?ng không kém ? :))),Negative,,,,,,,,,,,,,,,,,,,,,,
M?y th ??y c?y có tý ch?c v? to m?m trc mình cx b? th? quay xe nch v?i nó luôn lúc sau im im ?i ra 1 ch? mình càng im im nó càng th? hi?n cái b?n n?ng vô h?c c?a nó làm c?ngg xem nó có dám ??ng vào không hay ch? b?t n?t m?y b?n hi?n hi?n,Negative,,,,,,,,,,,,,,,,,,,,,,
th già b?o v? áo xanh nc bi?n ??y trc h?i nó d?t xe minh ?? ?o?n nào nó c? kêu trong nhà xe m?t 40' tìm ra h?i l?i nó ch?i mình ch? ?ã cay k th?y xe còn m?t th?i gian t nói l?i nó xong hùng h? s?n tay áo các th? t cx c?ng xong im im ?i ra 1 ch? khác mình cx ??ng hi?n quá ?? nó lên ??u mình ng?i nó cx ch? mang mác b?o v? thôi ch? ch?a ph?i b? m? mình,Negative,,,,,,,,,,,,,,,,,,,,,,
Mình k nói ??n v? ?? xe vì bt ?i v?y là saii nma cái mình mu?n nói ??n là cái thái ?? c?a b?o v? ??i v?i sinh viên môi tr??ng h?c t?p mà nh? ki?u ch? búa thích nói gì thì nói sv tr??ng mình hi?n nên k làm c?ng v? này ch? ra ngoai nh? v?y xem có inovar v?i nó k =))),Negative,,,,,,,,,,,,,,,,,,,,,,
M?t 30’ ?? tìm ra chi?c xe sau khi h?c 3 ca và ra v? v?i khuân m?t th?t th?n,Negative,,,,,,,,,,,,,,,,,,,,,,
"h?c t? ca 1 ??n ca 3 thì bu?i tr?a các bác b?o v? s? d?t chi?c xe thân yêu ?i v? m?t n?i r?t r?t xa cái v? trí ban ??u sáng ?? rui ?,còn smart key thì ý ki?n này ?ã ?c em ti?p thu",Negative,,,,,,,,,,,,,,,,,,,,,,
"B?o v? tr??ng mình vô h?c có kém gì ?âu. Hôm ?i xe ??p t?i, cái ông già già ??a cho cái th? xe máy, quay l?i h?i thì ông ch?i ""c? c?m ?i h?i ?** gì"". Cay nh?ng có làm gì ???c ?âu. Không ph?i ??t nhà mình nên ch?ng dám",Negative,,,,,,,,,,,,,,,,,,,,,,
"vào thì nhà xe 2 bên m?t k quan sát l?i kêu h? khó tính =)) ng khác x?u ntn k bi?t, nh?ng b?n thân ??n môi tr??ng t?p th? ph?i theo quy ??nh thôi. V?n hoá ?? l?i.",Negative,,,,,,,,,,,,,,,,,,,,,,
ti?n h?c l?i thì ??p 1 ??ng mà ?éo c?i t?o ?c cái nhà xe lên,Negative,,,,,,,,,,,,,,,,,,,,,,
Có l?n có m?y b ?? xe luôn vào c?a còn khoá c? k cho xe c?a ??i ra mua ?? nh?c nh? ?? ch? khác còn thái ??,Negative,,,,,,,,,,,,,,,,,,,,,,
các ông phi xe vào ?? ??y c?a phòng thí nghi?m trong khi ?i h?c,Negative,,,,,,,,,,,,,,,,,,,,,,
Lâu không vào tr??ng gi? tr??ng c?t kho?n vé tháng r?i hay sao mà quá nhi?u ti?n? R?i ??i rbc cùng sinh ho?t d??i 1 mái tr??ng thì có gì mà so sánh làm rbc v?i ?i h?c? À ti?n nói luôn tôi không phi xe vào tr??ng bao gi? ?âu =))) B?c xúc chuy?n nhà xe ch?t xong b? d?t x??c xe thôi,Negative,,,,,,,,,,,,,,,,,,,,,,
"m?y ông bve tr??ng mình ??c m?m ??c mi?ng, ?n nói thô t?c ? ch?u ???c :))",Negative,,,,,,,,,,,,,,,,,,,,,,
?ó là n?i quy tr??ng nào ch? th?. K ?? xe máy ? sân tr??ng không cho xe ôm taxi tr? khách trong tr??ng. Sinh viên có this có that. ??n cái m? còn m?t.  còn ch?i nhau thì k ?úng r?i.,Negative,,,,,,,,,,,,,,,,,,,,,,
"cái m? m?t thì 1 ph?n do mình k c?t c?p . Sau ph?i nói là nhà xe làm ?n nh? cái ??c c?u , xe t ?? g?n ? trong r?i , ?ang lúi húi c?t cái m? vào c?p , v?a ra kh?i c?a nhà xe quay l?i nhìn thì bv nhà xe dong cmn xe ra gi?a xong xoay ngang xe ch?n ?uôi m?y xe máy kia , chán ? bu?n nói",Negative,,,,,,,,,,,,,,,,,,,,,,
dong ki?u gì v? c? y?m xe,Negative,,,,,,,,,,,,,,,,,,,,,,
m?t m? là 1phaanf do ý th?c sv thôi . c? mà ?? xe nhi?u hôm b? các bác b?o v? d?t l?i cho g?n . tìm xe toét cmn m?t,Negative,,,,,,,,,,,,,,,,,,,,,,
T? nay mà ?i g?i xe trong bãi mà c? thg nhà xe nào t? d?ng nó quay ra ch?i b thì b c? s?ng mái v?i nó luôn,Negative,,,,,,,,,,,,,,,,,,,,,,
M?y lão b?o v? ? ?ây toàn dân giang h?,Negative,,,,,,,,,,,,,,,,,,,,,,
"Ng??i ta k ?i h?c ??y ??, k có cv nào nên ?i làm b?o v?. M?y ô là sinh viên ???c h?c hành ?àng hoàng sai thì bi?t mà s?a ch? c? l?y cái do ô b?o v? ?n nói này khác ?? bi?n minh cho mình.",Negative,,,,,,,,,,,,,,,,,,,,,,
GTVT g?n ?ây m?i thay máu hay sao mà toàn các anh tài h?i t? th? này,Positive,,,,,,,,,,,,,,,,,,,,,,
